0  0
0.1  0.100433
0.2  0.202867
0.3  0.3093
0.4  0.421733
0.5  0.542167
0.6  0.6726
0.7  0.815033
0.8  0.971467
0.9  1.1439
1  1.33433
1.1  1.54477
1.2  1.7772
1.3  2.03363
1.4  2.31607
1.5  2.6265
1.6  2.96693
1.7  3.33937
1.8  3.7458
1.9  4.18823
2  4.66867
2.1  5.1891
2.2  5.75154
2.3  6.35797
2.4  7.0104
2.5  7.71084
2.6  8.46127
2.7  9.2637
2.8  10.1201
2.9  11.0326
3  12.003
3.1  13.0334
3.2  14.1259
3.3  15.2823
3.4  16.5047
3.5  17.7952
3.6  19.1556
3.7  20.588
3.8  22.0945
3.9  23.6769
4  25.3373
4.1  27.0778
4.2  28.9002
4.3  30.8066
4.4  32.7991
4.5  34.8795
4.6  37.0499
4.7  39.3124
4.8  41.6688
4.9  44.1213
5  46.6717
5.1  49.3221
5.2  52.0746
5.3  54.931
5.4  57.8934
5.5  60.9639
5.6  64.1443
5.7  67.4367
5.8  70.8432
5.9  74.3656
6  78.006
6.1  81.7665
6.2  85.6489
6.3  89.6553
6.4  93.7878
6.5  98.0482
6.6  102.439
6.7  106.961
6.8  111.618
6.9  116.41
7  121.34
7.1  126.411
7.2  131.623
7.3  136.98
7.4  142.482
7.5  148.133
7.6  153.933
7.7  159.885
7.8  165.992
7.9  172.254
8  178.675
8.1  185.255
8.2  191.998
8.3  198.904
8.4  205.976
8.5  213.217
8.6  220.627
8.7  228.21
8.8  235.966
8.9  243.899
9  252.009
9.1  260.3
9.2  268.772
9.3  277.428
9.4  286.271
9.5  295.301
9.6  304.522
9.7  313.934
9.8  323.541
9.9  333.343
10  343.343
